Generation	Population	Deaths	meanAlpha	meanBeta	meanDrift	SD_Alpha	SD_Beta	SD_Drift	corr_AB	
Predation: 	0.7
initAlpha: 	0
initBeta: 	0
mutAlpha: 	0.05
stepAlpha: 	0.4
mutBeta: 	0.05
stepBeta: 	0.4
mutDrift: 	0.05
stepDrift: 	0.4
K0: 	1
Xsh: 	1
Xsn: 	1
